STATEA,COUNTYA,naics,EMP_2019,EMP_2022,Growth_Rate
1,1,48----,177,112,-36.72316384180791
1,3,48----,1453,1210,-16.72401927047488
1,5,48----,789,921,16.730038022813687
1,7,48----,320,165,-48.4375
1,9,48----,250,262,4.8
1,13,48----,254,403,58.661417322834644
1,15,48----,1275,1029,-19.294117647058822
1,17,48----,426,579,35.91549295774648
1,19,48----,100,111,11.0
1,21,48----,171,187,9.35672514619883
1,23,48----,146,122,-16.43835616438356
1,25,48----,185,200,8.108108108108109
1,27,48----,39,56,43.58974358974359
1,29,48----,24,23,-4.166666666666666
1,31,48----,307,142,-53.74592833876222
1,33,48----,681,598,-12.187958883994126
1,35,48----,224,303,35.267857142857146
1,37,48----,7,8,14.285714285714285
1,39,48----,246,416,69.10569105691057
1,41,48----,116,133,14.655172413793101
1,43,48----,2050,1779,-13.219512195121952
1,45,48----,420,3232,669.5238095238095
1,47,48----,122,124,1.639344262295082
1,49,48----,1401,623,-55.531763026409706
1,51,48----,250,145,-42.0
1,53,48----,493,532,7.910750507099391
1,55,48----,724,923,27.486187845303867
1,57,48----,38,59,55.26315789473685
1,59,48----,171,210,22.807017543859647
1,61,48----,189,289,52.910052910052904
1,63,48----,13,11,-15.384615384615385
1,65,48----,31,20,-35.483870967741936
1,67,48----,246,217,-11.788617886178862
1,69,48----,2154,1832,-14.948932219127206
1,71,48----,282,291,3.1914893617021276
1,73,48----,13119,14042,7.035597225398277
1,75,48----,180,198,10.0
1,77,48----,171,192,12.280701754385964
1,79,48----,81,79,-2.4691358024691357
1,81,48----,3333,2840,-14.79147914791479
1,83,48----,1616,1278,-20.915841584158414
1,85,48----,152,115,-24.342105263157894
1,87,48----,76,55,-27.631578947368425
1,89,48----,4106,4171,1.5830491962981004
1,91,48----,164,191,16.463414634146343
1,93,48----,335,505,50.74626865671642
1,95,48----,889,761,-14.39820022497188
1,97,48----,10263,7930,-22.732144597096365
1,99,48----,743,716,-3.6339165545087484
1,101,48----,5336,4959,-7.065217391304348
1,103,48----,2180,1960,-10.091743119266056
1,105,48----,33,17,-48.484848484848484
1,107,48----,45,45,0.0
1,109,48----,1945,1699,-12.647814910025707
1,111,48----,146,147,0.684931506849315
1,113,48----,390,195,-50.0
1,115,48----,216,230,6.481481481481481
1,117,48----,1973,1780,-9.78205778003041
1,119,48----,613,736,20.0652528548124
1,121,48----,2277,1744,-23.407992973210366
1,123,48----,410,376,-8.292682926829269
1,125,48----,4024,4235,5.243538767395626
1,127,48----,179,191,6.70391061452514
1,129,48----,274,515,87.95620437956204
1,131,48----,45,44,-2.2222222222222223
1,133,48----,192,195,1.5625
1,999,48----,238,83,-65.12605042016807
2,13,48----,22,13,-40.909090909090914
2,16,48----,661,351,-46.89863842662632
2,20,48----,12028,10861,-9.702361157299634
2,50,48----,332,363,9.33734939759036
2,60,48----,92,61,-33.69565217391305
2,68,48----,21,48,128.57142857142858
2,70,48----,68,63,-7.352941176470589
2,90,48----,1765,1951,10.538243626062323
2,100,48----,15,18,20.0
2,105,48----,48,44,-8.333333333333332
2,110,48----,837,816,-2.5089605734767026
2,122,48----,1038,806,-22.350674373795762
2,130,48----,557,540,-3.052064631956912
2,150,48----,234,227,-2.9914529914529915
2,158,48----,22,64,190.9090909090909
2,164,48----,88,54,-38.63636363636363
2,170,48----,836,763,-8.732057416267942
2,180,48----,191,202,5.7591623036649215
2,185,48----,242,313,29.338842975206614
2,188,48----,168,187,11.30952380952381
2,195,48----,50,41,-18.0
2,198,48----,82,68,-17.073170731707318
2,220,48----,191,185,-3.1413612565445024
2,230,48----,20,24,20.0
2,240,48----,108,114,5.555555555555555
2,275,48----,34,39,14.705882352941178
2,282,48----,17,20,17.647058823529413
2,290,48----,13,51,292.30769230769226
4,1,48----,58,65,12.068965517241379
4,3,48----,784,588,-25.0
4,5,48----,1313,1411,7.463823305407463
4,7,48----,255,310,21.568627450980394
4,9,48----,260,178,-31.538461538461537
4,11,48----,37,52,40.54054054054054
4,12,48----,88,81,-7.954545454545454
4,13,48----,101231,81474,-19.516748822001166
4,15,48----,1540,1486,-3.506493506493506
4,17,48----,563,464,-17.584369449378332
4,19,48----,12004,9976,-16.89436854381873
4,21,48----,3219,2148,-33.271202236719475
4,23,48----,1724,1677,-2.726218097447796
4,25,48----,1579,1594,0.9499683343888538
4,27,48----,2027,1381,-31.869758263443515
4,999,48----,97,18,-81.44329896907216
5,1,48----,351,359,2.2792022792022792
5,3,48----,211,223,5.687203791469194
5,5,48----,168,132,-21.428571428571427
5,7,48----,14367,12203,-15.06229553838658
5,9,48----,535,488,-8.785046728971963
5,11,48----,41,39,-4.878048780487805
5,13,48----,130,148,13.846153846153847
5,15,48----,34,35,2.941176470588235
5,17,48----,445,245,-44.9438202247191
5,19,48----,97,146,50.51546391752577
5,21,48----,121,98,-19.00826446280992
5,23,48----,31,16,-48.38709677419355
5,25,48----,53,55,3.7735849056603774
5,27,48----,198,240,21.21212121212121
5,29,48----,300,374,24.666666666666668
5,31,48----,1991,1773,-10.949271722752387
5,33,48----,730,770,5.47945205479452
5,35,48----,2335,2462,5.4389721627409
5,37,48----,54,74,37.03703703703704
5,39,48----,164,177,7.926829268292683
5,41,48----,109,167,53.21100917431193
5,43,48----,78,72,-7.6923076923076925
5,45,48----,480,608,26.666666666666668
5,47,48----,95,70,-26.31578947368421
5,49,48----,7,27,285.7142857142857
5,51,48----,639,423,-33.80281690140845
5,53,48----,52,60,15.384615384615385
5,55,48----,433,304,-29.79214780600462
5,57,48----,117,122,4.273504273504273
5,59,48----,551,570,3.4482758620689653
5,61,48----,148,168,13.513513513513514
5,63,48----,488,463,-5.122950819672131
5,65,48----,96,124,29.166666666666668
5,67,48----,93,102,9.67741935483871
5,69,48----,258,349,35.27131782945737
5,71,48----,1391,1007,-27.60603882099209
5,73,48----,18,36,100.0
5,75,48----,79,78,-1.2658227848101267
5,77,48----,38,32,-15.789473684210526
5,79,48----,14,18,28.57142857142857
5,81,48----,175,156,-10.857142857142858
5,83,48----,84,127,51.19047619047619
5,85,48----,385,261,-32.20779220779221
5,87,48----,231,96,-58.44155844155844
5,89,48----,27,22,-18.51851851851852
5,91,48----,1622,2836,74.84586929716399
5,93,48----,646,668,3.4055727554179565
5,95,48----,40,206,415.00000000000006
5,97,48----,10,17,70.0
5,99,48----,299,347,16.05351170568562
5,101,48----,12,17,41.66666666666667
5,103,48----,241,198,-17.842323651452283
5,107,48----,158,257,62.65822784810127
5,109,48----,62,71,14.516129032258066
5,111,48----,92,95,3.260869565217391
5,113,48----,197,279,41.62436548223351
5,115,48----,1483,961,-35.19892110586649
5,117,48----,48,58,20.833333333333336
5,119,48----,15307,10025,-34.50708826027308
5,121,48----,144,156,8.333333333333332
5,123,48----,222,264,18.91891891891892
5,125,48----,625,326,-47.839999999999996
5,127,48----,33,37,12.121212121212121
5,131,48----,3032,2137,-29.518469656992085
5,133,48----,54,87,61.111111111111114
5,135,48----,11,27,145.45454545454547
5,137,48----,17,12,-29.411764705882355
5,139,48----,473,482,1.9027484143763214
5,141,48----,188,260,38.297872340425535
5,143,48----,6588,6493,-1.4420157862780814
5,145,48----,2139,1958,-8.461898083216457
5,147,48----,33,33,0.0
5,149,48----,110,106,-3.6363636363636362
5,999,48----,2677,3032,13.26111318640269
6,1,48----,32163,28292,-12.035568821316419
6,5,48----,78,81,3.8461538461538463
6,7,48----,1267,1110,-12.39147592738753
6,9,48----,187,185,-1.06951871657754
6,11,48----,325,261,-19.692307692307693
6,13,48----,10397,7765,-25.314994710012506
6,15,48----,145,48,-66.89655172413794
6,17,48----,432,320,-25.925925925925924
6,19,48----,19899,11216,-43.635358560731696
6,21,48----,550,379,-31.09090909090909
6,23,48----,801,776,-3.1210986267166043
6,25,48----,1871,1626,-13.094601817210046
6,27,48----,76,53,-30.263157894736842
6,29,48----,13545,11195,-17.34957548911037
6,31,48----,1640,1172,-28.536585365853657
6,33,48----,159,162,1.8867924528301887
6,35,48----,68,61,-10.294117647058822
6,37,48----,194423,186325,-4.165145070284894
6,39,48----,742,542,-26.954177897574123
6,41,48----,1757,1232,-29.880478087649404
6,43,48----,18,29,61.111111111111114
6,45,48----,545,529,-2.9357798165137616
6,47,48----,2374,2020,-14.911541701769165
6,49,48----,25,27,8.0
6,53,48----,3114,2977,-4.399486191393706
6,55,48----,2231,2009,-9.950694755714926
6,57,48----,532,637,19.736842105263158
6,59,48----,39763,32053,-19.389885069034026
6,61,48----,4281,3155,-26.30226582574165
6,63,48----,61,25,-59.01639344262295
6,65,48----,52342,38758,-25.952390050055406
6,67,48----,28395,21224,-25.254446205317837
6,69,48----,462,392,-15.151515151515152
6,71,48----,106252,75142,-29.27944885743327
6,73,48----,35792,29321,-18.079459097004918
6,75,48----,11338,12431,9.640148174281178
6,77,48----,34643,25596,-26.114943855901622
6,79,48----,1761,1792,1.7603634298693924
6,81,48----,36477,35744,-2.0094854291745485
6,83,48----,3479,3038,-12.676056338028168
6,85,48----,14670,13081,-10.831629175187457
6,87,48----,1656,1075,-35.08454106280193
6,89,48----,1561,1344,-13.901345291479823
6,91,48----,3,2,-33.33333333333333
6,93,48----,200,139,-30.5
6,95,48----,7227,4491,-37.858032378580326
6,97,48----,5231,4098,-21.659338558593003
6,99,48----,7619,6727,-11.707573172332326
6,101,48----,1541,962,-37.57300454250487
6,103,48----,1862,1841,-1.1278195488721803
