STATEA,COUNTYA,naics,emp_nf,EMP
1,1,48----,J,112
1,3,48----,G,1210
1,5,48----,H,921
1,7,48----,H,165
1,9,48----,G,262
1,13,48----,H,403
1,15,48----,G,1029
1,17,48----,J,579
1,19,48----,H,111
1,21,48----,G,187
1,23,48----,G,122
1,25,48----,H,200
1,27,48----,G,56
1,29,48----,J,23
1,31,48----,H,142
1,33,48----,G,598
1,35,48----,H,303
1,37,48----,G,8
1,39,48----,H,416
1,41,48----,H,133
1,43,48----,H,1779
1,45,48----,H,3232
1,47,48----,G,124
1,49,48----,G,623
1,51,48----,J,145
1,53,48----,H,532
1,55,48----,G,923
1,57,48----,J,59
1,59,48----,G,210
1,61,48----,J,289
1,63,48----,G,11
1,65,48----,J,20
1,67,48----,J,217
1,69,48----,H,1832
1,71,48----,J,291
1,73,48----,G,14042
1,75,48----,H,198
1,77,48----,H,192
1,79,48----,H,79
1,81,48----,H,2840
1,83,48----,H,1278
1,85,48----,J,115
1,87,48----,H,55
1,89,48----,G,4171
1,91,48----,H,191
1,93,48----,G,505
1,95,48----,G,761
1,97,48----,G,7930
1,99,48----,G,716
1,101,48----,G,4959
1,103,48----,G,1960
1,105,48----,J,17
1,107,48----,H,45
1,109,48----,H,1699
1,111,48----,G,147
1,113,48----,G,195
1,115,48----,G,230
1,117,48----,G,1780
1,119,48----,J,736
1,121,48----,H,1744
1,123,48----,J,376
1,125,48----,H,4235
1,127,48----,H,191
1,129,48----,H,515
1,131,48----,H,44
1,133,48----,H,195
1,999,48----,J,83
2,13,48----,J,13
2,16,48----,J,351
2,20,48----,G,10861
2,50,48----,G,363
2,60,48----,J,61
2,68,48----,J,48
2,70,48----,J,63
2,90,48----,G,1951
2,100,48----,J,18
2,105,48----,G,44
2,110,48----,G,816
2,122,48----,G,806
2,130,48----,H,540
2,150,48----,G,227
2,158,48----,H,64
2,164,48----,G,54
2,170,48----,G,763
2,180,48----,J,202
2,185,48----,H,313
2,188,48----,G,187
2,195,48----,H,41
2,198,48----,H,68
2,220,48----,G,185
2,230,48----,J,24
2,240,48----,G,114
2,261,48----,H,413
2,275,48----,G,39
2,282,48----,J,20
2,290,48----,J,51
4,1,48----,G,65
4,3,48----,G,588
4,5,48----,G,1411
4,7,48----,H,310
4,9,48----,H,178
4,11,48----,H,52
4,12,48----,H,81
4,13,48----,G,81474
4,15,48----,H,1486
